Year_Week,year,week,Retail Market,Vegetable,mean_farmer_price
2019-w26,2019,w26,Anuradhapura,ASH PLANTAINS,52.0
2019-w27,2019,w27,Anuradhapura,ASH PLANTAINS,56.67
2019-w28,2019,w28,Anuradhapura,ASH PLANTAINS,55.0
2019-w29,2019,w29,Anuradhapura,ASH PLANTAINS,60.0
2019-w30,2019,w30,Anuradhapura,ASH PLANTAINS,60.0
2019-w31,2019,w31,Anuradhapura,ASH PLANTAINS,55.0
2019-w32,2019,w32,Anuradhapura,ASH PLANTAINS,57.5
2019-w33,2019,w33,Anuradhapura,ASH PLANTAINS,60.0
2019-w34,2019,w34,Anuradhapura,ASH PLANTAINS,58.33
2019-w35,2019,w35,Anuradhapura,ASH PLANTAINS,60.0
2019-w36,2019,w36,Anuradhapura,ASH PLANTAINS,60.0
2019-w37,2019,w37,Anuradhapura,ASH PLANTAINS,66.67
2019-w38,2019,w38,Anuradhapura,ASH PLANTAINS,70.0
2019-w39,2019,w39,Anuradhapura,ASH PLANTAINS,75.0
2019-w40,2019,w40,Anuradhapura,ASH PLANTAINS,69.0
2019-w41,2019,w41,Anuradhapura,ASH PLANTAINS,65.0
2019-w42,2019,w42,Anuradhapura,ASH PLANTAINS,67.5
2019-w43,2019,w43,Anuradhapura,ASH PLANTAINS,70.0
2019-w44,2019,w44,Anuradhapura,ASH PLANTAINS,68.33
2019-w45,2019,w45,Anuradhapura,ASH PLANTAINS,75.0
2019-w46,2019,w46,Anuradhapura,ASH PLANTAINS,80.0
2019-w47,2019,w47,Anuradhapura,ASH PLANTAINS,73.33
2019-w48,2019,w48,Anuradhapura,ASH PLANTAINS,66.67
2019-w49,2019,w49,Anuradhapura,ASH PLANTAINS,70.0
2019-w50,2019,w50,Anuradhapura,ASH PLANTAINS,80.0
2019-w51,2019,w51,Anuradhapura,ASH PLANTAINS,80.0
2019-w52,2019,w52,Anuradhapura,ASH PLANTAINS,80.0
2013-w1,2013,w1,Anuradhapura,BEETROOT,63.6
2013-w2,2013,w2,Anuradhapura,BEETROOT,70.1
2013-w3,2013,w3,Anuradhapura,BEETROOT,94.0
2013-w4,2013,w4,Anuradhapura,BEETROOT,92.0
2013-w5,2013,w5,Anuradhapura,BEETROOT,77.1
2013-w6,2013,w6,Anuradhapura,BEETROOT,51.0
2013-w7,2013,w7,Anuradhapura,BEETROOT,39.25
2013-w8,2013,w8,Anuradhapura,BEETROOT,43.8
2013-w9,2013,w9,Anuradhapura,BEETROOT,65.0
2013-w10,2013,w10,Anuradhapura,BEETROOT,65.3
2013-w11,2013,w11,Anuradhapura,BEETROOT,58.88
2013-w12,2013,w12,Anuradhapura,BEETROOT,47.5
2013-w13,2013,w13,Anuradhapura,BEETROOT,46.8
2013-w14,2013,w14,Anuradhapura,BEETROOT,41.0
2013-w15,2013,w15,Anuradhapura,BEETROOT,51.6
2013-w16,2013,w16,Anuradhapura,BEETROOT,44.4
2013-w17,2013,w17,Anuradhapura,BEETROOT,44.5
2013-w18,2013,w18,Anuradhapura,BEETROOT,52.0
2013-w19,2013,w19,Anuradhapura,BEETROOT,58.4
2013-w20,2013,w20,Anuradhapura,BEETROOT,65.38
2013-w21,2013,w21,Anuradhapura,BEETROOT,69.1
2013-w22,2013,w22,Anuradhapura,BEETROOT,70.6
2013-w23,2013,w23,Anuradhapura,BEETROOT,70.0
2013-w24,2013,w24,Anuradhapura,BEETROOT,68.9
2013-w25,2013,w25,Anuradhapura,BEETROOT,63.68
2013-w26,2013,w26,Anuradhapura,BEETROOT,58.9
2013-w27,2013,w27,Anuradhapura,BEETROOT,51.7
